score_band,total_borrow,total_repay,repay_ratio,total_liquidations,days_active
"[0, 100)",4830660440189058.0,220640615381809.2,0.14,6.94,55.59
"[100, 200)",1469476901294655.2,53152436377670.37,0.06,2.22,45.44
"[200, 300)",346452173934540.94,52305354077540.59,0.0,0.02,2.35
"[300, 400)",4.054433343515576e+16,1713089260184251.2,0.03,0.01,34.87
"[400, 500)",2.978562778780433e+17,3.9631523054215816e+16,0.17,0.11,101.05
"[500, 600)",2.9950138781396456e+16,2.3901151548347628e+16,0.77,0.07,55.33
"[600, 700)",8.374890088669803e+16,6.831399087542898e+16,1.01,0.09,33.07
"[700, 800)",1.3055054895808638e+17,1.3189816631387054e+17,1.05,0.01,22.89
"[800, 900)",1.8361289947049078e+17,1.840967829183345e+17,1.03,0.01,49.56
"[900, 1000)",1.199509184210378e+17,1.2035377699059912e+17,1.0,0.0,114.5
